HOUSEHOLD_ID,IN_TPB,IN_BMC,HOME_STATE_FIPS,HOME_STATE_PUMA,AREA_TYPE,HOME_STATE_COUNTY_FIPS,HOME_TRACT_FIPS,HOME_TPB_TAZ,HOME_BMC_TAZ,HOME_TYPE,MPO_HOME_TYPE,HOME_OWNERSHIP,MPO_HOME_OWNERSHIP,HHSIZE,NUMSTUDENTS,NUMDRIVERS,NUMWORKERS,NUMDISABILITIES,NUMVEHICLE,NUMVEHICLE_TRANSPONDER,NUMBICYCLE,HH_INCOME_DETAILED,MPO_HH_INCOME_DETAILED,HH_INCOME_BROAD,MPO_HH_INCOME_BROAD,TDATE_STRING,TDATE_DOW,HHTRIPS,PACKAGE_DELIVERED,FOOD_DELIVERED,SERVICE_DELIVERED,WTHHFIN,HOME_OWNERSHIP_IMP,HH_INCOME_DETAILED_IMP,NUMDISABILITIES_IMP
140000271,1,1,24,24_01204,13,24003,701101,3111,561,1,-9,1,-9,3,1,3,3,0,4,1,2,8,-9,2,-9,2018-07-02,1,7,0,0,0,136.46011315,-9,-9,-9
140000280,1,1,24,24_01204,13,24003,701300,3113,569,1,-9,1,-9,1,0,1,1,0,2,2,1,7,-9,2,-9,2018-06-18,1,5,0,0,0,131.74586962,-9,-9,-9
140000284,1,1,24,24_01204,13,24003,701300,3114,572,1,-9,1,-9,1,0,1,0,0,1,1,0,4,-9,1,-9,2018-07-20,5,5,0,0,0,91.688043143,-9,-9,-9
140000291,1,1,24,24_01204,13,24003,701300,3114,572,1,-9,1,-9,2,0,2,1,0,2,2,2,7,-9,2,-9,2018-05-22,2,5,1,0,0,88.698225412,-9,-9,-9
140000299,1,1,24,24_01204,12,24003,701400,3108,575,4,-9,2,-9,2,0,2,0,0,1,1,2,3,-9,1,-9,2019-04-25,4,2,0,0,0,58.049674115,-9,-9,-9
140000309,1,1,24,24_01204,12,24003,701400,3108,575,1,-9,1,-9,1,0,1,0,0,1,0,1,4,-9,1,-9,2018-05-16,3,12,0,0,0,46.435774702,-9,-9,-9
140000316,1,1,24,24_01204,12,24003,701400,3108,575,1,-9,1,-9,2,0,2,2,0,2,1,2,5,-9,2,-9,2018-05-09,3,13,0,0,0,58.049674115,-9,-9,-9
140000324,1,1,24,24_01204,13,24003,701400,3109,574,1,-9,1,-9,2,0,2,0,0,2,1,0,5,-9,2,-9,2018-05-22,2,6,1,0,1,88.698225412,-9,1,-9
140000326,1,1,24,24_01204,13,24003,701400,3109,574,1,-9,1,-9,4,2,3,3,0,3,3,3,8,-9,2,-9,2018-07-13,5,23,0,0,0,164.78113545,-9,-9,-9
140000335,1,1,24,24_01203,13,24003,702100,3055,514,1,-9,1,-9,2,0,2,0,0,3,0,1,6,-9,2,-9,2018-06-05,2,5,1,0,0,77.101012283,-9,-9,-9
140000336,1,0,24,24_01203,13,24003,702100,3055,-9,1,-9,1,-9,2,0,2,2,0,2,2,3,8,-9,2,-9,2018-09-20,4,5,0,0,0,77.101012283,-9,-9,-9
140000340,1,1,24,24_01203,13,24003,702100,3055,514,1,-9,1,-9,1,0,1,0,1,2,2,3,1,-9,1,-9,2018-05-09,3,8,0,0,0,79.699914037,-9,-9,-9
140000349,1,1,24,24_01201,11,24003,702204,3019,495,1,-9,1,-9,2,0,2,0,0,2,1,1,1,-9,1,-9,2018-06-08,5,7,0,0,0,34.762423495,-9,-9,-9
140000353,1,1,24,24_01201,11,24003,702204,3019,495,1,-9,1,-9,2,0,2,2,0,2,1,2,7,-9,2,-9,2018-06-28,4,4,0,0,0,34.762423495,-9,-9,-9
140000354,1,1,24,24_01201,11,24003,702204,3019,495,1,-9,1,-9,5,2,4,3,0,5,5,3,7,-9,2,-9,2018-06-29,5,9,1,0,0,92.126939551,-9,-9,-9
140000355,1,1,24,24_01201,11,24003,702204,3019,495,1,-9,1,-9,3,1,3,3,0,2,2,2,8,-9,2,-9,2018-08-01,3,12,1,0,0,53.481162914,-9,-9,-9
140000365,1,1,24,24_01201,11,24003,702204,3019,495,1,-9,1,-9,4,2,3,2,0,3,3,3,8,-9,2,-9,2018-06-04,1,15,0,0,0,64.580678902,-9,-9,-9
140000367,1,1,24,24_01201,11,24003,702204,3019,495,1,-9,1,-9,2,0,2,0,0,2,2,1,7,-9,2,-9,2018-07-25,3,12,0,0,0,34.762423495,-9,-9,-9
140000369,1,1,24,24_01201,11,24003,702204,3019,495,1,-9,1,-9,4,1,2,2,0,2,2,4,8,-9,2,-9,2018-07-25,3,10,1,0,0,64.580678902,-9,-9,-9
140000374,1,1,24,24_01201,11,24003,702204,3019,495,1,-9,1,-9,2,0,2,0,0,2,2,0,7,-9,2,-9,2018-05-21,1,8,0,0,0,34.762423495,-9,-9,-9
140000376,1,1,24,24_01201,11,24003,702204,3019,495,2,-9,1,-9,1,0,1,1,0,1,1,0,7,-9,2,-9,2018-06-04,1,7,1,0,0,35.934186624,-9,-9,-9
140000382,1,1,24,24_01201,11,24003,702204,3019,495,1,-9,1,-9,1,0,1,0,0,1,0,0,6,-9,2,-9,2018-05-07,1,4,0,0,0,35.934186624,-9,-9,-9
140000384,1,1,24,24_01201,11,24003,702204,3019,495,1,-9,1,-9,1,0,1,0,1,1,0,0,4,-9,1,-9,2018-08-01,3,0,0,0,0,35.934186624,-9,-9,-9
140000390,1,1,24,24_01201,11,24003,702204,3019,495,1,-9,1,-9,2,0,2,0,0,2,2,0,7,-9,2,-9,2018-06-01,5,8,0,0,0,34.762423495,-9,-9,-9
140000393,1,1,24,24_01201,11,24003,702204,3019,495,1,-9,1,-9,4,2,2,2,0,2,2,4,8,-9,2,-9,2018-07-25,3,26,1,0,0,64.580678902,-9,-9,-9
140000395,1,1,24,24_01201,11,24003,702204,3019,495,1,-9,1,-9,1,0,1,1,0,1,1,1,8,-9,2,-9,2018-07-05,4,0,0,0,0,35.934186624,-9,-9,-9
140000407,1,1,24,24_01201,13,24003,702205,3019,496,1,-9,1,-9,2,0,2,1,1,2,2,0,5,-9,2,-9,2018-07-19,4,12,0,0,0,81.130041015,-9,1,-9
140000411,1,1,24,24_01201,12,24003,702205,3019,492,2,-9,1,-9,1,0,1,1,0,1,1,0,7,-9,2,-9,2018-05-18,5,9,0,0,0,51.382581694,-9,-9,-9
