HOUSEHOLD_ID,PERSON_ID,AGE,AGE_GROUP,GENDER,RACEETHNICITY,MPO_RACEETHNICITY,RACEETHNICITY_HISPANIC,MPO_RACEETHNICITY_HISPANIC,LICENSE,DISABILITY,SMARTPHONE,EMPLOYMENT_STATUS,MPO_EMPLOYMENT_STATUS,MPO_UNEMPLOYMENT_STATUS,JOBS_COUNT,MPO_J1_EMPLOYER_TYPE,J1_WORKPLACE_LOC,WORK_STATE_FIPS,WORK_STATE_COUNTY_FIPS,WORK_TRACT_FIPS,WORK_TPB_TAZ,WORK_BMC_TAZ,J1_COMMUTE_FREQ,J1_COMMUTE_MODE,MPO_J1_COMMUTE_MODE,J1_TELECOMMUTE,MPO_J1_TELECOMMUTE,J1_TELECOMMUTE_DAYS,MPO_J1_TELECOMMUTE_DAYS,J1_BENEFITS_FREE_PARKING,J1_BENEFITS_PARKING,J1_BENEFITS_TRANSIT,J1_BENEFITS_CARPOOL,J1_BENEFITS_WALKING_BIKING,J1_BENEFITS_EV_CHARGING,J1_BENEFITS_BICYCLE_PARKING,J1_BENEFITS_NONE,STUDENT_STATUS,SCHOOL_TYPE,MPO_SCHOOL_TYPE,SCHOOL_STATE_FIPS,SCHOOL_STATE_COUNTY_FIPS,SCHOOL_TRACT_FIPS,SCHOOL_TPB_TAZ,SCHOOL_BMC_TAZ,SCHOOL_FREQ,SCHOOL_MODE,MPO_SCHOOL_MODE,VOLUNTEER_STATUS,TRIPS_YESNO,NO_TRAVEL,MPO_NO_TRAVEL,TD_PAIDPARK,TD_HOV,TD_TOLL,TD_TELECOMMUTE_TIME,MPO_TD_TELECOMMUTE_TIME,TD_SHOP_TIME,MPO_TD_SHOP_TIME,PERSON_TRIPCOUNT,WALK_BIKE_LOOP_TRIPS,WTPERFIN,WWM_WTPERFIN,AGE_IMP,GENDER_IMP,RACEETHNICITY_IMP,MPO_RACEETHNICITY_IMP,DISABILITY_IMP
140000271,14000027101,59,10,1,4,-9,2,-9,1,2,1,0,-9,-9,1,-9,1,24,24003,702500,3100,556,-9,3,-9,1,-9,0,-9,1,0,0,0,0,0,0,0,0,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,1,-9,-9,2,2,2,0,-9,0,-9,5,-9,136.46011315,153,-9,-9,-9,-9,-9
140000271,14000027102,55,10,2,4,-9,2,-9,1,2,1,0,-9,-9,1,-9,3,-9,-9,-9,-9,-9,-9,-9,-9,1,-9,5,-9,0,0,0,0,0,0,0,1,0,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,2,4,-9,-9,-9,-9,8,-9,0,-9,0,-9,136.46011315,136,-9,-9,-9,-9,-9
140000271,14000027103,19,6,2,4,-9,2,-9,1,2,1,0,-9,-9,1,-9,1,24,24003,999999,-9,568,-9,3,-9,2,-9,-9,-9,0,0,0,0,0,0,0,1,1,6,-9,24,24003,731103,3087,522,-9,3,-9,-9,1,-9,-9,2,2,2,0,-9,0,-9,2,-9,136.46011315,152,-9,-9,-9,-9,-9
140000280,14000028001,67,11,2,4,-9,2,-9,1,2,1,0,-9,-9,1,-9,1,39,39000,999999,-9,-9,-9,3,-9,2,-9,-9,-9,0,0,0,0,0,0,0,1,0,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,1,-9,-9,2,2,2,0,-9,0,-9,5,-9,131.74586962,143,-9,-9,-9,-9,-9
140000284,14000028401,70,11,1,4,-9,2,-9,1,2,1,1,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,0,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,1,1,-9,-9,2,2,2,-9,-9,0,-9,5,-9,91.688043143,92,-9,-9,-9,-9,-9
140000291,14000029101,63,10,1,4,-9,2,-9,1,2,1,0,-9,-9,1,-9,1,24,24003,702701,3091,519,-9,3,-9,1,-9,0,-9,1,0,0,0,0,1,1,0,0,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,1,-9,-9,2,2,2,0,-9,0,-9,3,-9,88.698225412,100,-9,-9,-9,-9,-9
140000291,14000029102,69,11,2,4,-9,2,-9,1,2,1,1,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,0,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,1,1,-9,-9,2,2,2,-9,-9,0,-9,2,-9,88.698225412,88,-9,-9,-9,-9,-9
140000299,14000029901,63,10,2,4,-9,2,-9,1,2,1,2,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,0,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,2,1,-9,-9,2,2,2,-9,-9,0,-9,2,-9,58.049674115,58,-9,-9,-9,-9,-9
140000299,14000029902,61,10,1,4,-9,2,-9,1,2,2,2,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,0,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,2,2,1,-9,-9,-9,-9,-9,-9,0,-9,0,-9,58.049674115,58,-9,-9,-9,-9,-9
140000309,14000030901,69,11,1,4,-9,2,-9,1,2,1,1,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,0,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,1,1,-9,-9,2,2,2,-9,-9,0,-9,12,2,46.435774702,47,-9,-9,-9,-9,-9
