archetype,D_ACTIVITY_LABEL,n_trips,median_dep_hour,median_arr_hour,median_departure,median_arrival
Flexible Commuter,Civic/Religious,197,16.916666666666668,17.25,16:55,17:15
Flexible Commuter,Drop off/pick up,829,16.0,16.5,16:00,16:30
Flexible Commuter,Entertainment,124,18.583333333333332,19.0,18:35,19:00
Flexible Commuter,Exercise,554,16.666666666666668,17.083333333333332,16:40,17:05
Flexible Commuter,Gas,541,16.25,16.666666666666668,16:15,16:40
Flexible Commuter,Health care,359,13.0,13.416666666666666,13:00,13:25
Flexible Commuter,Home,5048,18.166666666666668,18.5,18:10,18:30
Flexible Commuter,Meal,1529,15.5,15.833333333333334,15:30,15:50
Flexible Commuter,Meal (quick-stop),1096,12.833333333333334,13.083333333333334,12:50,13:05
Flexible Commuter,Non-shopping errand,658,15.391666666666666,15.791666666666668,15:24,15:48
Flexible Commuter,Other,473,15.5,16.0,15:30,16:00
Flexible Commuter,Recreation,166,17.375,17.833333333333332,17:22,17:50
Flexible Commuter,School,82,16.375,17.083333333333336,16:22,17:05
Flexible Commuter,Shopping,2208,17.0,17.333333333333332,17:00,17:20
Flexible Commuter,Socialize,544,18.0,18.5,18:00,18:30
Flexible Commuter,Volunteer,142,17.333333333333332,17.891666666666666,17:20,17:54
Flexible Commuter,Work,5315,9.0,9.5,09:00,09:30
Non-Commuter,Civic/Religious,934,12.75,13.0,12:45,13:00
Non-Commuter,Drop off/pick up,3709,13.416666666666666,13.75,13:25,13:45
Non-Commuter,Entertainment,368,16.208333333333336,17.083333333333332,16:13,17:05
Non-Commuter,Exercise,1551,10.5,10.916666666666666,10:30,10:55
Non-Commuter,Gas,984,12.583333333333334,12.775,12:35,12:46
Non-Commuter,Health care,1895,10.833333333333334,11.25,10:50,11:15
Non-Commuter,Home,16675,14.916666666666666,15.25,14:55,15:15
Non-Commuter,Meal,2821,13.75,14.083333333333334,13:45,14:05
Non-Commuter,Meal (quick-stop),1326,13.5,13.666666666666666,13:30,13:40
Non-Commuter,Non-shopping errand,2289,12.333333333333334,12.583333333333334,12:20,12:35
Non-Commuter,Other,1921,12.416666666666666,13.25,12:25,13:15
Non-Commuter,Recreation,939,13.916666666666666,14.333333333333334,13:55,14:20
Non-Commuter,School,934,9.25,9.75,09:15,09:45
Non-Commuter,Shopping,8610,13.0,13.25,13:00,13:15
Non-Commuter,Socialize,1676,14.0,14.5,14:00,14:30
Non-Commuter,Volunteer,973,11.483333333333333,11.833333333333334,11:29,11:50
Non-Commuter,Work,1110,10.916666666666666,11.333333333333334,10:55,11:20
Parent Commuter,Civic/Religious,97,17.833333333333332,18.083333333333332,17:50,18:05
Parent Commuter,Drop off/pick up,2626,14.0,14.416666666666666,14:00,14:25
Parent Commuter,Entertainment,44,18.25,18.858333333333334,18:15,18:52
Parent Commuter,Exercise,206,16.708333333333336,17.166666666666668,16:43,17:10
Parent Commuter,Gas,241,15.0,15.5,15:00,15:30
Parent Commuter,Health care,177,12.333333333333334,12.833333333333334,12:20,12:50
Parent Commuter,Home,5559,17.25,17.833333333333332,17:15,17:50
Parent Commuter,Meal,639,13.5,13.666666666666666,13:30,13:40
Parent Commuter,Meal (quick-stop),510,12.75,12.875,12:45,12:52
Parent Commuter,Non-shopping errand,271,15.75,15.916666666666666,15:45,15:55
Parent Commuter,Other,169,15.333333333333334,15.666666666666666,15:20,15:40
Parent Commuter,Recreation,184,17.5,17.75,17:30,17:45
Parent Commuter,School,158,16.083333333333336,16.666666666666664,16:05,16:40
Parent Commuter,Shopping,938,16.666666666666668,17.025,16:40,17:01
Parent Commuter,Socialize,169,18.0,18.333333333333332,18:00,18:20
Parent Commuter,Volunteer,86,17.75,18.0,17:45,18:00
Parent Commuter,Work,5363,8.25,8.833333333333334,08:15,08:50
Rigid Commuter,Civic/Religious,58,17.541666666666664,18.25,17:32,18:15
Rigid Commuter,Drop off/pick up,99,15.0,16.0,15:00,16:00
Rigid Commuter,Entertainment,46,18.5,19.041666666666664,18:30,19:02
Rigid Commuter,Exercise,364,16.75,17.166666666666668,16:45,17:10
Rigid Commuter,Gas,146,16.0,16.683333333333334,16:00,16:41
Rigid Commuter,Health care,111,14.0,14.75,14:00,14:45
Rigid Commuter,Home,8221,17.416666666666668,18.0,17:25,18:00
Rigid Commuter,Meal,647,15.083333333333334,15.5,15:05,15:30
Rigid Commuter,Meal (quick-stop),340,13.25,13.416666666666666,13:15,13:25
Rigid Commuter,Non-shopping errand,139,16.0,16.333333333333332,16:00,16:20
Rigid Commuter,Other,126,16.833333333333336,17.375,16:50,17:22
Rigid Commuter,Recreation,59,17.25,17.983333333333334,17:15,17:59
Rigid Commuter,School,56,13.5,13.958333333333332,13:30,13:57
Rigid Commuter,Shopping,822,16.916666666666668,17.416666666666668,16:55,17:25
Rigid Commuter,Socialize,180,17.5,18.333333333333332,17:30,18:20
Rigid Commuter,Volunteer,62,18.291666666666664,18.791666666666664,18:17,18:47
Rigid Commuter,Work,8892,8.0,8.666666666666666,08:00,08:40
